Symbol,Name,Market Cap,Country,IPO Year,Volume,Sector,Industry
A,Agilent Technologies Inc. Common Stock,36394589543,United States,1999,92940,Industrials,Electrical Products
AA,Alcoa Corporation Common Stock ,7643553548,,2016,1026743,Industrials,Metal Fabrications
AAC,Ares Acquisition Corporation Class A Ordinary Shares,1230000000,,2021,15221,Finance,Business Services
AACG,ATA Creativity Global American Depositary Shares,33810489,China,2008,2702,Consumer Discretionary,Service to the Health Industry
AACI,Armada Acquisition Corp. I Common Stock,204713408,United States,2021,181467,Industrials,Consumer Electronics/Appliances
AACIU,Armada Acquisition Corp. I Unit,0,United States,2021,301,Industrials,Consumer Electronics/Appliances
AACIW,Armada Acquisition Corp. I Warrant,0,United States,2021,10107,Industrials,Consumer Electronics/Appliances
AADI,Aadi Bioscience Inc. Common Stock,293051499,United States,,13885,Health Care,Biotechnology: Pharmaceutical Preparations
AAIC,Arlington Asset Investment Corp Class A (new),93436913,United States,,731,Real Estate,Real Estate Investment Trusts
AAIC^B,Arlington Asset Investment Corp 7.00% ,,United States,,265,,
AAIC^C,Arlington Asset Investment Corp 8.250% Seies C Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock   ,,United States,,3425,,
AAIN,Arlington Asset Investment Corp 6.000% Senior Notes Due 2026,0,United States,,64,,
AAL,American Airlines Group Inc. Common Stock,8989285496,United States,,7148778,Consumer Discretionary,Air Freight/Delivery Services
AAM^A,Apollo Asset Management Inc. 6.375% Series A Preferred Stock,,United States,,400,,
AAM^B,Apollo Asset Management Inc. 6.375% Series B Preferred Stock,,United States,,1608,,
AAMC,Altisource Asset Management Corp Com,20593496,United States,,77,Finance,Investment Managers
AAME,Atlantic American Corporation Common Stock,52437190,United States,,30,Finance,Life Insurance
AAN,Aarons Holdings Company Inc. Common Stock ,448858275,,2020,14288,Consumer Discretionary,Diversified Commercial Services
AAOI,Applied Optoelectronics Inc. Common Stock,42280145,United States,2013,12786,Technology,Semiconductors
AAON,AAON Inc. Common Stock,2959779597,United States,,41089,Industrials,Industrial Machinery/Components
AAP,Advance Auto Parts Inc.,11045544124,United States,,56514,Consumer Discretionary,Auto & Home Supply Stores
AAPL,Apple Inc. Common Stock,2.47144E+12,United States,1980,13006443,Technology,Computer Manufacturing
AAQC,Accelerate Acquisition Corp. Class A Common Stock,488500000,,2021,103,Industrials,Consumer Electronics/Appliances
AAT,American Assets Trust Inc. Common Stock,1836844005,United States,2011,15977,Real Estate,Real Estate Investment Trusts
AATC,Autoscope Technologies Corporation Common Stock,28898376,United States,,145,Industrials,Industrial Machinery/Components
AAU,Almaden Minerals Ltd. Common Shares,29557491,Canada,2015,26145,,
AAWW,Atlas Air Worldwide Holdings NEW Common Stock,1700725565,United States,,23359,Consumer Discretionary,Transportation Services
AB,AllianceBernstein Holding L.P.  Units,4134664588,United States,,19254,Finance,Investment Managers
ABB,ABB Ltd Common Stock,50070399415,Switzerland,,281679,Energy,Electrical Products
ABBV,AbbVie Inc. Common Stock,2.7217E+11,United States,2012,583574,Health Care,Other Pharmaceuticals
ABC,AmerisourceBergen Corporation Common Stock,29526052488,United States,,65786,Health Care,Other Pharmaceuticals
ABCB,Ameris Bancorp Common Stock,2837840288,United States,1994,51535,Finance,Major Banks
ABCL,AbCellera Biologics Inc. Common Shares,3027152306,Canada,2020,249619,,
ABCM,Abcam plc American Depositary Shares,3434513460,United Kingdom,2020,38047,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ABEO,Abeona Therapeutics Inc. Common Stock,23093412,United States,,22387,Health Care,Biotechnology: Pharmaceutical Preparations
ABEV,Ambev S.A. American Depositary Shares (Each representing 1 Common Share),40686181544,,2013,2518480,Consumer Staples,Beverages (Production/Distribution)
ABG,Asbury Automotive Group Inc Common Stock,3769513673,United States,2002,8525,Consumer Discretionary,Other Specialty Stores
ABGI,ABG Acquisition Corp. I Class A Ordinary Shares,189458990,United States,2021,74,Finance,Business Services
ABIO,ARCA biopharma Inc. Common Stock,35593053,United States,,10336,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
ABM,ABM Industries Incorporated Common Stock,2793079680,United States,,26719,Consumer Discretionary,Diversified Commercial Services
ABMD,ABIOMED Inc. Common Stock,11654651542,United States,,16064,Health Care,Medical/Dental Instruments
ABNB,Airbnb Inc. Class A Common Stock,55644027353,United States,2020,838165,Consumer Discretionary,Hotels/Resorts
ABOS,Acumen Pharmaceuticals Inc. Common Stock,195216064,United States,2021,5376,Health Care,Biotechnology: Pharmaceutical Preparations
ABR,Arbor Realty Trust Common Stock,2181956116,United States,2004,350646,Real Estate,Real Estate Investment Trusts
ABR^D,Arbor Realty Trust 6.375% Series D Cumulative Redeemable Preferred Stock Liquidation Preference $25.00 per Share,,United States,,40,,
ABR^E,Arbor Realty Trust 6.25% Series E Cumulative Redeemable Preferred Stock,,United States,,850,,
ABR^F,Arbor Realty Trust 6.25% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock Liquidation Preference $25.00 per share,,United States,,491,,
ABSI,Absci Corporation Common Stock,322196551,United States,2021,6862,Health Care,Biotechnology: Pharmaceutical Preparations
ABST,Absolute Software Corporation Common Stock,465469588,Canada,2020,8018,,
ABT,Abbott Laboratories Common Stock,1.9017E+11,United States,,616660,Health Care,Medical/Dental Instruments
ABTX,Allegiance Bancshares Inc. Common Stock,790974166,United States,2015,6207,Finance,Major Banks
ABUS,Arbutus Biopharma Corporation Common Stock,420900911,Canada,,103259,,
ABVC,ABVC BioPharma Inc. Common Stock,32630402,United States,,13175,Health Care,Biotechnology: Pharmaceutical Preparations
AC,Associated Capital Group Inc. Common Stock,816940226,United States,2015,109,Finance,Investment Bankers/Brokers/Service
ACA,Arcosa Inc. Common Stock ,2189185940,,2018,5905,Industrials,Engineering & Construction
ACAB,Atlantic Coastal Acquisition Corp. II Class A Common Stock,298650000,United States,2022,144821,Industrials,Consumer Electronics/Appliances
ACABW,Atlantic Coastal Acquisition Corp. II Warrant,0,United States,2022,5,Industrials,Consumer Electronics/Appliances
ACACU,Acri Capital Acquisition Corporation Unit,0,United States,2022,600,Industrials,Consumer Electronics/Appliances
ACAD,ACADIA Pharmaceuticals Inc. Common Stock,2497312199,United States,2004,209813,Health Care,Biotechnology: Pharmaceutical Preparations
ACAH,Atlantic Coastal Acquisition Corp. Class A Common Stock,421762500,United States,2021,37826,Industrials,Consumer Electronics/Appliances
ACAHU,Atlantic Coastal Acquisition Corp. Unit,0,United States,2021,100,Industrials,Consumer Electronics/Appliances
ACAQ,Athena Consumer Acquisition Corp. Class A Common Stock,323026600,,2021,100,Industrials,Consumer Electronics/Appliances
ACAX,Alset Capital Acquisition Corp. Class A Common Stock,111311950,United States,2022,11188,Industrials,Consumer Electronics/Appliances
ACAXR,Alset Capital Acquisition Corp. Right,0,United States,2022,1,Industrials,Consumer Electronics/Appliances
ACAXW,Alset Capital Acquisition Corp. Warrant,0,United States,2022,200,Industrials,Consumer Electronics/Appliances
ACB,Aurora Cannabis Inc. Common Shares,414463234,Canada,,1291388,,
ACBA,Ace Global Business Acquisition Limited Ordinary Shares,62356200,Hong Kong,2021,1,Finance,Business Services
ACBAU,Ace Global Business Acquisition Limited Unit,0,Hong Kong,2021,386,Consumer Discretionary,Business Services
ACBAW,Ace Global Business Acquisition Limited Warrant,0,Hong Kong,2021,68,Consumer Discretionary,Business Services
ACC,American Campus Communities Inc Common Stock,9053843607,United States,2004,179669,Real Estate,Real Estate Investment Trusts
ACCD,Accolade Inc. Common Stock,657263094,United States,2020,129839,Technology,Interactive Media
ACCO,Acco Brands Corporation Common Stock,627016281,United States,,25560,Consumer Discretionary,Advertising
ACDI,Ascendant Digital Acquisition Corp. III Class A Ordinary Shares,376500000,,2021,429,,
ACEL,Accel Entertainment Inc. ,1025638205,United States,2017,11510,Consumer Discretionary,Recreational Games/Products/Toys
ACER,Acer Therapeutics Inc. Common Stock (DE),21063120,United States,,15404,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ACET,Adicet Bio Inc. Common Stock ,316571620,United States,2018,29779,Health Care,Biotechnology: Pharmaceutical Preparations
ACEV,ACE Convergence Acquisition Corp. Class A Ordinary Shares,141893262,United States,2020,17981,Technology,Semiconductors
ACEVU,ACE Convergence Acquisition Corp. Unit,0,United States,2020,200,Technology,Semiconductors
ACEVW,ACE Convergence Acquisition Corp. Warrant,0,United States,2020,4100,Technology,Semiconductors
ACGL,Arch Capital Group Ltd. Common Stock,16543696244,Bermuda,,101683,Finance,Property-Casualty Insurers
ACGLN,Arch Capital Group Ltd. Depositary Shares each Representing a 1/1000th Interest in a 4.550% Non-Cumulative Preferred Share Series G,0,Bermuda,,3264,Finance,Property-Casualty Insurers
ACGLO,Arch Capital Group Ltd. Depositary Shares Each Representing 1/1000th Interest in a Share of 5.45% Non-Cumulative Preferred Shares Series F,0,Bermuda,,3774,Finance,Property-Casualty Insurers
ACH,Aluminum Corporation of China Limited American Depositary Shares,6216557411,China,2001,2547,Industrials,Aluminum
ACHC,Acadia Healthcare Company Inc. Common Stock,6465415914,United States,,50623,Health Care,Hospital/Nursing Management
ACHL,Achilles Therapeutics plc American Depositary Shares,104781514,United Kingdom,2021,2431,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ACHR,Archer Aviation Inc. Class A Common Stock,736946080,United States,2020,216750,Industrials,Aerospace
ACHV,Achieve Life Sciences Inc. Common Shares,48409275,United States,,7649,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
ACI,Albertsons Companies Inc. Class A Common Stock,14087124957,United States,2020,183190,Consumer Staples,Food Chains
ACII,Atlas Crest Investment Corp. II Class A Common Stock,423056250,,2021,2081,Industrials,Consumer Electronics/Appliances
ACIU,AC Immune SA Common Stock,300288593,Switzerland,2016,3333,Health Care,Biotechnology: Pharmaceutical Preparations
ACIW,ACI Worldwide Inc. Common Stock,2977563444,United States,,25549,Technology,EDP Services
ACKIT,Ackrell SPAC Partners I Co. Subunits,0,United States,2021,1622,Industrials,Consumer Electronics/Appliances
ACKIU,Ackrell SPAC Partners I Co. Units,0,United States,2020,2,Industrials,Consumer Electronics/Appliances
ACKIW,Ackrell SPAC Partners I Co. Warrants,0,United States,2021,20,Industrials,Consumer Electronics/Appliances
ACLS,Axcelis Technologies Inc. Common Stock,1603471595,United States,2000,25558,Technology,Industrial Machinery/Components
ACLX,Arcellx Inc. Common Stock,855151986,United States,2022,80476,Health Care,Biotechnology: Pharmaceutical Preparations
ACM,AECOM Common Stock,8886834499,United States,2007,47255,Consumer Discretionary,Military/Government/Technical
ACMR,ACM Research Inc. Class A Common Stock,951907972,United States,2017,85596,Technology,Industrial Machinery/Components
ACN,Accenture plc Class A Ordinary Shares (Ireland),1.75399E+11,Ireland,2001,223434,Consumer Discretionary,Business Services
ACNB,ACNB Corporation Common Stock,267044549,United States,,2913,Finance,Major Banks
ACON,Aclarion Inc. Common Stock,6821925,United States,2022,26622,Technology,Retail: Computer Software & Peripheral Equipment
ACONW,Aclarion Inc. Warrant,0,United States,2022,116,Technology,Retail: Computer Software & Peripheral Equipment
ACOR,Acorda Therapeutics Inc. Common Stock,12449632,United States,2006,27305,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ACP,abrdn Income Credit Strategies Fund Common Shares,175973367,United States,2011,8075,Finance,Investment Managers
ACP^A,abrdn Income Credit Strategies Fund 5.250% Series A Perpetual Preferred Stock,,United States,,2988,,
ACQR,Independence Holdings Corp. Class A Ordinary Share,608728396,United States,2021,624,Finance,Business Services
ACQRU,Independence Holdings Corp. Units,0,United States,2021,14479,Finance,Business Services
ACQRW,Independence Holdings Corp. Warrant,0,United States,2021,1174,Finance,Business Services
ACR,ACRES Commercial Realty Corp. Common Stock,76353598,United States,,225,Real Estate,Real Estate Investment Trusts
ACR^C,ACRES Commercial Realty Corp. 8.625% Fixed-to-Floating Series C Cumulative Redeemable Preferred Stock ,,United States,,1230,,
ACR^D,ACRES Commercial Realty Corp. 7.875% Series D Cumulative Redeemable Preferred Stock,,United States,,100,,
ACRE,Ares Commercial Real Estate Corporation Common Stock,676124468,United States,2012,72190,Real Estate,Real Estate Investment Trusts
ACRO,Acropolis Infrastructure Acquisition Corp. Class A Common Stock,417881250,,2021,400,Industrials,Consumer Electronics/Appliances
ACRS,Aclaris Therapeutics Inc. Common Stock,1012044926,United States,2015,45354,Health Care,Biotechnology: Commercial Physical & Biological Resarch
ACRX,AcelRx Pharmaceuticals Inc. Common Stock,36367108,United States,2011,279068,Consumer Discretionary,Specialty Chemicals
ACST,Acasti Pharma Inc. Class A Common Stock,36951659,Canada,,8524,,
ACT,Enact Holdings Inc. Common Stock,3455511887,United States,2021,14166,Finance,Specialty Insurers
ACTD,ArcLight Clean Transition Corp. II Class A Ordinary Share,387203518,United States,2021,157817,,
ACTDW,ArcLight Clean Transition Corp. II Warrant,0,United States,2021,9454,Finance,Business Services
ACTG,Acacia Research Corporation (Acacia Tech) Common Stock,216680094,United States,,64133,Miscellaneous,Multi-Sector Companies
ACU,Acme United Corporation. Common Stock,111710098,United States,1988,2738,Consumer Discretionary,Home Furnishings
ACV,Virtus Diversified Income & Convertible Fund Common Shares of Beneficial Interest,210627040,United States,2015,10031,Finance,Finance/Investors Services
ACVA,ACV Auctions Inc. Class A Common Stock,1087055626,United States,2021,59448,Technology,EDP Services
ACXP,Acurx Pharmaceuticals Inc. Common Stock,36433341,United States,2021,1911,Health Care,Biotechnology: Pharmaceutical Preparations
ADAG,Adagene Inc. American Depositary Shares,88464038,China,2021,3466,Health Care,Biotechnology: Pharmaceutical Preparations
ADAL,Anthemis Digital Acquisitions I Corp Class A Ordinary Shares,300667500,United States,2021,229302,,
ADALU,Anthemis Digital Acquisitions I Corp Unit,0,United States,2021,111,,
ADALW,Anthemis Digital Acquisitions I Corp Warrant,0,United States,2021,1,,
ADAP,Adaptimmune Therapeutics plc American Depositary Shares,283533593,United Kingdom,2015,55576,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADBE,Adobe Inc. Common Stock,1.7733E+11,United States,1986,402490,Technology,Computer Software: Prepackaged Software
ADC,Agree Realty Corporation Common Stock,5516410844,United States,,39245,Real Estate,Real Estate Investment Trusts
ADC^A,Agree Realty Corporation Depositary Shares each representing 1/1000th of a 4.250% Series A Cumulative Redeemable Preferred Stock,,United States,,1,,
ADCT,ADC Therapeutics SA Common Shares,695902922,,2020,20876,Health Care,Biotechnology: Pharmaceutical Preparations
ADER,26 Capital Acquisition Corp. Class A Common Stock,337906250,United States,2021,3,Industrials,Consumer Electronics/Appliances
ADERW,26 Capital Acquisition Corp. Warrant,0,United States,2021,19477,Industrials,Consumer Electronics/Appliances
ADES,Advanced Emissions Solutions Inc. Common Stock,88635091,United States,,18042,Industrials,Industrial Specialties
ADEX,Adit EdTech Acquisition Corp. Common Stock,339138450,,2021,1200,Industrials,Consumer Electronics/Appliances
ADGI,Adagio Therapeutics Inc. Common Stock,404063317,United States,2021,217994,Health Care,Biotechnology: Pharmaceutical Preparations
ADI,Analog Devices Inc. Common Stock,74020378387,United States,,231608,Technology,Semiconductors
ADIL,Adial Pharmaceuticals Inc Common Stock,32965341,United States,2018,33556,Health Care,Biotechnology: Pharmaceutical Preparations
ADM,Archer-Daniels-Midland Company Common Stock,40149200531,United States,,264973,,
ADMA,ADMA Biologics Inc Common Stock,431974235,United States,,563806,Health Care,Biotechnology: Pharmaceutical Preparations
ADMP,Adamis Pharmaceuticals Corporation Common Stock,77636698,United States,,79530,Health Care,Biotechnology: Pharmaceutical Preparations
ADN,Advent Technologies Holdings Inc. Class A Common Stock,53752487,United States,2018,332724,Utilities,Power Generation
ADNT,Adient plc Ordinary Shares ,2624378943,,2016,118215,Consumer Discretionary,Auto Parts:O.E.M.
ADNWW,Advent Technologies Holdings Inc. Warrant,0,United States,2018,4975,Utilities,Power Generation
ADOC,Edoc Acquisition Corp. Class A Ordinary Share,55923189,United States,2020,696,Finance,Business Services
ADOCR,Edoc Acquisition Corp. Right,0,United States,2020,1,Finance,Business Services
ADOCW,Edoc Acquisition Corp. Warrant,0,United States,2020,2,Finance,Business Services
ADP,Automatic Data Processing Inc. Common Stock,90120593101,United States,,145767,Consumer Discretionary,Business Services
ADPT,Adaptive Biotechnologies Corporation Common Stock,1359699221,United States,2019,174945,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADRA,Adara Acquisition Corp. Class A Common Stock,128570000,United States,2021,90473,Industrials,Consumer Electronics/Appliances
ADRT,Ault Disruptive Technologies Corporation Common Stock,143462500,,2022,8,Industrials,Consumer Electronics/Appliances
ADSE,ADS-TEC ENERGY PLC Ordinary Shares,329453312,Ireland,,17794,,
ADSEW,ADS-TEC ENERGY PLC Warrant,0,Ireland,,652,,
ADSK,Autodesk Inc. Common Stock,38498462004,United States,,166050,Technology,Computer Software: Prepackaged Software
ADT,ADT Inc. Common Stock,5718865015,United States,2018,100034,Consumer Discretionary,Diversified Commercial Services
ADTH,AdTheorent Holding Company Inc. Common Stock,285527500,United States,2021,7601,Consumer Discretionary,Advertising
ADTHW,AdTheorent Holding Company Inc. Warrants,0,United States,2021,1,Consumer Discretionary,Advertising
ADTN,ADTRAN Inc. Common Stock,899882705,United States,1994,147565,Telecommunications,Telecommunications Equipment
ADTX,Aditxt Inc. Common Stock,6337651,United States,2020,261350,Consumer Discretionary,Specialty Chemicals
ADUS,Addus HomeCare Corporation Common Stock,1366391108,United States,2009,1325,Health Care,Medical/Nursing Services
ADV,Advantage Solutions Inc. Class A Common Stock,1324581161,United States,2019,22075,Consumer Discretionary,Advertising
ADVM,Adverum Biotechnologies Inc. Common Stock,118158969,United States,2014,80478,Health Care,Biotechnology: Pharmaceutical Preparations
ADVWW,Advantage Solutions Inc. Warrant,0,United States,2019,1,Consumer Discretionary,Advertising
ADX,Adams Diversified Equity Fund Inc.,1838137174,United States,,2627,Finance,Investment Managers
ADXN,Addex Therapeutics Ltd American Depositary Shares,7451138,Switzerland,,13308,Health Care,Biotechnology: Pharmaceutical Preparations
AE,Adams Resources & Energy Inc. Common Stock,131123337,United States,1980,1089,Energy,Oilfield Services/Equipment
AEAC,Authentic Equity Acquisition Corp. Class A ordinary share,295350000,United States,2021,88004,Finance,Business Services
AEACW,Authentic Equity Acquisition Corp. Warrant,0,United States,2021,2,Finance,Business Services
AEAE,AltEnergy Acquisition Corp. Class A Common Stock,285918750,United States,2021,165407,Industrials,Consumer Electronics/Appliances
AEAEW,AltEnergy Acquisition Corp. Warrant,0,United States,2021,2,Industrials,Consumer Electronics/Appliances
AEE,Ameren Corporation Common Stock,22765248769,United States,,72181,Utilities,Power Generation
AEF,abrdn Emerging Markets Equity Income Fund Inc. Common Stock,276597190,United States,,4734,Finance,Finance/Investors Services
AEFC,Aegon Funding Company LLC 5.10% Subordinated Notes due 2049,0,,2019,1008,,
AEG,AEGON N.V. Common Stock,7973609768,Netherlands,,431582,Finance,Life Insurance
AEHA,Aesther Healthcare Acquisition Corp Class A Common Stock,134035375,United States,2021,106687,Industrials,Consumer Electronics/Appliances
AEHAW,Aesther Healthcare Acquisition Corp Warrants,0,United States,2021,1,Industrials,Consumer Electronics/Appliances
AEHL,Antelope Enterprise Holdings Limited Common Stock (0.024 par),6410353,China,,102,Consumer Discretionary,Building Products
AEHR,Aehr Test Systems Common Stock,191690528,United States,1997,23108,Industrials,Electrical Products
AEI,Alset EHome International Inc. Common Stock,32088769,United States,2020,133606,Real Estate,Building operators
AEIS,Advanced Energy Industries Inc. Common Stock,2722675034,United States,1995,12027,Consumer Discretionary,Electrical Products
AEL,American Equity Investment Life Holding Company Common Stock,3281865637,United States,2003,66141,Finance,Life Insurance
AEL^A,American Equity Investment Life Holding Company Depositary Shares each representing a 1/1000th interest in a share of 5.95% Fixed-Rate Reset Non-Cumulative Preferred Stock Series A,,United States,,7708,,
AEL^B,American Equity Investment Life Holding Company Depositary Shares each representing a 1/1000th interest in a share of 6.625% Fixed-Rate Reset Non-Cumulative Preferred Stock Series B,,United States,,1791,,
AEM,Agnico Eagle Mines Limited Common Stock,20793872081,Canada,,382360,,
AEMD,Aethlon Medical Inc. Common Stock,16932001,United States,,275674,Miscellaneous,Diversified Commercial Services
AENZ,Aenza S.A.A. American Depositary Shares,284881234,,2018,105,Industrials,Military/Government/Technical
AEO,American Eagle Outfitters Inc. Common Stock,1936265146,United States,,603507,Consumer Discretionary,Clothing/Shoe/Accessory Stores
AEP,American Electric Power Company Inc. Common Stock,48206391801,United States,,216331,Utilities,Electric Utilities: Central
AEPPZ,American Electric Power Company Inc. Corporate Units,0,United States,,570,Utilities,Electric Utilities: Central
AER,AerCap Holdings N.V. Ordinary Shares,9623347405,Netherlands,2006,57963,Consumer Discretionary,Diversified Commercial Services
