Title,Description
"IBM unveils new watsonx, AI and data platform - Reuters","IBM unveils new watsonx, AI and data platform  Reuters"
IBM Chief's Message To Remote Workers: 'Your Career Does Suffer',"IBM CEO Arvind Krishna said he's not forcing any of the company's remote workers to come into the office just yet, but warns those who don't ""would be hard-pressed to get promoted, especially into managerial roles,"" reports Bloomberg. From the report: ""Being …"
"IBM Unveils New Watsonx, AI and Data Platform","IBM on Tuesday launched watsonx, a new artificial intelligence and data platform to help companies integrate AI in their business. From a report: The new AI platform launch comes over a decade after IBM's software called Watson got attention for winning the g…"
"10 Things in Tech: Say goodbye to the US car market as we know it, TikTok will pay for AR filters, and YouTubers share how they make money","In today's edition: IBM employee on sick leave for 15 years sues company, YouTubers share how to make money, and more headlines."
IBM boasts it will replace thousands of workers with AI,"IBM has a splendid idea: spinning layoffs as part of an AI-driven dehumanization plan. 7800 workers will be replaced, it claims. 




Roughly 7,800 jobs could be replaced by Artificial Intelligence (AI) in the coming years, CEO Arvind Krishna told Bloomberg N…"
"An IT worker who has been on sick leave for 15 years sued IBM for not raising his $67,000 salary while he was off work. A judge threw out the case.","Ian Clifford, 50, has been on sick leave for 15 years. He sued IBM for not raising his salary in a decade, but an employment judge dismissed the case."
IBM Consulting introduces Center of Excellence for generative AI to empower business transformation,"The Center of Excellence (CoE) will leverage IBM’s expertise in enterprise-grade AI, including the new IBM generative AI platform Watsonx."
"IBM, Google Give $150 Million for US-Japan Quantum-Computing Push",IBM and Google are giving $150 million for quantum-computing research at the University of Chicago and the University of Tokyo as the U.S. and Japan try to stay ahead of a fast-rising China. From a report: Quantum computers are a hot area of research because …
IBM chief says employees' careers could suffer and promotions may be harder to achieve if they work from home,"""Moving from there to another role is probably less likely because nobody's observing them in another context,"" Arvind Krishna told Bloomberg."
"Managers who use AI will replace managers who don't, says an IBM exec","The comment comes after IBM's CEO said about 7,800 of the firm's jobs could be replaced by AI and that it would halt hiring for those roles."
Nihil hic deest,"This page intentionally left blank has a long history. I thought it was an IBM thing from the 1960s, but I was off by a thousand or more years. There are good reasons for a page to be blank. Folding signatures, printing processes, having chapters start on the…"
IBM CEO sees a future for generative AI with Watsonx in the enterprise,"IBM's new Watsonx product platform helps organizations build and manage AI models, including generative AI, as well as provide AI governance."
How to thrive in a new era of AI with trust and confidence,"AI is already helping organizations achieve great things, but it's time to take advantage of its full business potential."
AI 'digital workers' are cutting tasks that used to take a month down to 10 minutes in New Mexico. Employees love it.,"How will AI affect the workplace? New Mexico's experience with ""digital workers"" might point the way: less busywork, more time for what's important."
Watch Congress Grill the Creator of ChatGPT,OpenAI CEO Sam Altman will make his Congressional debut before a Senate Judiciary subcommittee today—Tuesday at 10 am EST. He’s expected to roll out the charm offensive to try and convince lawmakers to pursue light-handed legislation that gives artificial int…
Early Computer Art from the 1950s and 1960s,"Modern day computer artist, [Amy Goodchild] surveys a history of Early Computer Art from the 1950s and 1960s. With so much attention presently focused on AI-generated artwork, we should remember …read more"
An IBM computer learned to sing in 1961,The IBM 7094 anticipated the future of music—and also sounded like the Auto-Tuned pop stars of today
IBM PC 8088 replaced with a Motorola 68000,"I was wondering what the IBM Personal Computer would have been like if they had chosen the Motorola 68000 instead of the Intel 8088, so I used my MCL86+ to emulate the 68000 and find out! The MCL86…"
IBM ha puesto fecha a su ordenador cuántico de 100.000 cúbits. Y lo cambiará todo en computación cuántica,"La ambición de IBM en el ámbito de la computación cuántica intimida. Y bienvenida sea. A principios de noviembre de 2022 presentó Osprey, su procesador cuántico de 433 cúbits, pero tiene entre manos mucho más. Su itinerario nos anticipa que a finales de este …"
Überfordert mit der Cloud-Infrastruktur? IBM will Abhilfe schaffen​,Mit seinem neuen Tool IBM Hybrid Cloud Mesh will Big Blue Verbindungen mit und zwischen hybriden Cloud-Umgebungen optimieren.
IBM: Eine Super-Quantencomputermaschine soll entstehen,"Innerhalb der nächsten zehn Jahre will IBM einen Quantencomputer mit 100.000 Qubits bauen. Doch ohne die Hilfe von Universitäten geht das nicht. (IBM, Supercomputer)"
"El primer ordenador cuántico ""portátil"" es chino y sirve para algo diferente a las grandes máquinas de IBM o Google","El dispositivo que podéis ver en la imagen de portada de este artículo parece una impresora, pero no lo es. Es un ordenador cuántico en toda regla. Uno muy especial. Lo ha fabricado la compañía china SpinQ y es lo suficientemente compacto para poder ser trans…"
“Yo te resuelvo el problema”: cuando Steve Jobs pagó 100.000 dólares por el logo de una de sus empresas (sin lamentarse),"Steve Jobs era un empresario muy particular. Depende de a quién preguntes te dirán que era un visionario persistente e innovador, un líder carismático y controvertido, o una combinación de estas y otras características que definían su curiosa personalidad.
<!…"
Wardley Maps–illustrated through Gerstner,Wardley Maps illustrating Gerstner’s actions in the second loop around the strategy cycle with the tidbit that you can’t transform institutions if the incentive programs are not aligned with your new strategy.
Qbits 30 Meters Apart Maintain Entanglement Across Refrigeration Systems,"""A new experiment uses superconducting qubits to demonstrate that quantum mechanics violates what's called local realism,"" reports Ars Technica, ""by allowing two objects to behave as a single quantum system no matter how large the separation between them.""

 …"
"Dealmaster: Discounts on Star Trek gear, laptops, and more","And snag a new laptop from HP, Lenovo, and Apple."
"PC Classics, Right In Your Browser With EmuOS",[Emupedia]’s work to preserve computer history by way of making classic and abandoned games and software as accessible as possible is being done in a handy way: right in your browser with Emu…
Wendy’s to test AI chatbot that takes your drive-thru order,"US fast-food chain says pilot program ‘seeks to take the complexity out of the ordering process’The next time someone asks for fries with their shake, they might be talking to a robot. At least, that’s what the US fast-food chain Wendy’s has planned.Next mont…"
"In Senate testimony, OpenAI CEO Sam Altman agrees with calls for an AI regulatory agency","In his In his testimony today before a bipartisan U.S. Senate panel, OpenAI CEO Sam Altman was not grilled, probed or interrogated."
How the digital ad industry can guide the ways AI transforms businesses,"The digital advertising industry must look closely at how AI is implemented as it begins to use the tech for targeting, measurement, personalization and optimization."
Daily Crunch: IBM says its new watsonx platform is an 'enterprise studio for AI builders',Couple of quick things: Apply now to pitch at TechCrunch Live’s Atlanta pitch-off.  Big bet on AI: Like other Big Tech companies we’ve talked about before...
"Kyndryl, IBM sued for age discrimination by former global software director","Lawyers claim separated IT giants are reading from the same page
IBM and its IT infrastructure spinoff Kyndryl were this week taken to court by an axed exec who had put decades of her life into the tech giants.…<!--#include virtual='/data_centre/_whitepaper_t…"
